./mfm2tb.py data/test.csv > testbench.v
iverilog -o mfm testbench.v mfm.v
vvp mfm | tee graph.txt
0 x 0 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx 0xxxxxxxxx xxxxxxxx 0xxx 0 xxxxxxxx 0xxx x
1360 0 1 xxxxxxxxxxx010101010101010101010 0xxxXaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1385 1 1 xxxxxxxxxx0101010101010101010101 0xxxX55555 00000000 0x00 0 xxxxxxxx 0xxx 1
1410 1 0 xxxxxxxxxx0101010101010101010101 0xxxX55555 00000000 0x00 0 xxxxxxxx 0xxx 1
1435 0 0 xxxxxxxxx01010101010101010101010 0xxxXaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1460 0 1 xxxxxxxxx01010101010101010101010 0xxxXaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1485 1 1 xxxxxxxx010101010101010101010101 0xxx555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1510 1 0 xxxxxxxx010101010101010101010101 0xxx555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1535 0 0 xxxxxxx0101010101010101010101010 0xxXaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1560 0 1 xxxxxxx0101010101010101010101010 0xxXaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1585 1 1 xxxxxx01010101010101010101010101 0xxX555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1610 1 0 xxxxxx01010101010101010101010101 0xxX555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1635 0 0 xxxxx010101010101010101010101010 0xxXaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1660 0 1 xxxxx010101010101010101010101010 0xxXaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1685 1 1 xxxx0101010101010101010101010101 0xx5555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1710 1 0 xxxx0101010101010101010101010101 0xx5555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1735 0 0 xxx01010101010101010101010101010 0xXaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1760 0 1 xxx01010101010101010101010101010 0xXaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1785 1 1 xx010101010101010101010101010101 0xX5555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1810 1 0 xx010101010101010101010101010101 0xX5555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1835 0 0 x0101010101010101010101010101010 0xXaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1860 0 1 x0101010101010101010101010101010 0xXaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1885 1 1 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1910 1 0 01010101010101010101010101010101 0x55555555 00000000 0x00 0 xxxxxxxx 0xxx 1
1935 0 0 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
1960 0 1 10101010101010101010101010101010 0xaaaaaaaa 11111111 0xff 0 xxxxxxxx 0xxx 1
